Co,Fe,Mn,V,Cu,target
0.15,0.2,0.14,0.25,0.26,0.33254
0.15,0.18,0.14,0.27,0.26,1.57308
0.15,0.2,0.14,0.25,0.26,0.47978
0.28,0.06,0.25,0.35,0.06,7.02326
0.24,0.07,0.3,0.05,0.34,0.12139
0.08,0.31,0.19,0.29,0.13,0.43569
0.19,0.12,0.25,0.16,0.28,0.20487
0.13,0.19,0.14,0.35,0.19,1.25662
0.2,0.07,0.26,0.15,0.32,0.2113
0.11,0.3,0.21,0.23,0.15,0.42057
0.35,0.05,0.35,0.08,0.17,0.23054
0.15,0.19,0.16,0.26,0.24,0.67344
0.27,0.13,0.34,0.07,0.19,0.30012
0.3,0.09,0.31,0.11,0.19,0.56533
0.29,0.05,0.35,0.14,0.17,0.38256
0.31,0.12,0.32,0.08,0.17,0.27956
0.09,0.29,0.19,0.26,0.17,1.74857
0.29,0.09,0.35,0.1,0.17,0.38626
0.16,0.05,0.35,0.09,0.35,0.18046
0.35,0.2,0.05,0.35,0.05,1.65887
0.35,0.05,0.05,0.2,0.35,0.40719
0.09,0.16,0.35,0.35,0.05,1.23886
0.09,0.16,0.05,0.35,0.35,0.22244
0.35,0.05,0.16,0.27,0.17,3.55469
0.17,0.05,0.15,0.28,0.35,0.47785
0.08,0.17,0.35,0.05,0.35,0.02343
0.16,0.34,0.07,0.09,0.34,0.28751
0.28,0.05,0.26,0.35,0.06,8.44828
0.16,0.35,0.18,0.25,0.06,0.60451
0.18,0.05,0.09,0.35,0.33,0.89295
0.17,0.33,0.07,0.27,0.16,0.20379
0.25,0.05,0.18,0.34,0.18,3.14474
0.29,0.05,0.06,0.34,0.26,0.28147
0.16,0.24,0.19,0.34,0.07,0.59704
0.25,0.05,0.2,0.31,0.19,1.17988
0.2,0.09,0.19,0.34,0.18,1.90476
0.21,0.06,0.19,0.35,0.19,4.59184
0.27,0.05,0.19,0.3,0.19,1.05914
0.23,0.05,0.2,0.34,0.18,0.87828
0.24,0.06,0.19,0.32,0.19,1.34375
0.26,0.06,0.18,0.31,0.19,0.84342
0.24,0.05,0.19,0.34,0.18,0.6439
0.06,0.15,0.1,0.34,0.35,1.24823
