Metal_1,Metal_2,Metal_3,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Annealing Temp degree,Annealing Time min,Proton Concentration M,Catalyst_Loading mg cm -2,Overpotential mV @10 mA cm-2
Ni,Ir,,60.0,40.0,0.0,180.0,300.0,25.0,0.0,0.1,0.0125,301
La,Ir,,66.66584982,33.33415018,0.0,25.0,0.0,1000.0,240.0,0.1,0.47157,318
La,Ir,,66.66584982,33.33415018,0.0,25.0,0.0,1200.0,240.0,0.1,0.47157,295
La,Ir,,66.66584982,33.33415018,0.0,25.0,0.0,1400.0,240.0,0.1,0.47157,324
Mn,Br,,70.96284297,29.03715703,0.0,25.0,0.0,250.0,300.0,1.0,7.184,295
Mn,Cl,,72.54086181,27.45913819,0.0,25.0,0.0,250.0,300.0,1.0,7.032,368
Mn,,,100.0,0.0,0.0,25.0,0.0,250.0,300.0,1.0,6.112,413
Ir,Te,,71.34375262,28.65624738,0.0,190.0,60.0,25.0,0.0,0.1,0.0255,290
Ir,Ni,Cu,33.33333333,33.33333333,33.33333333,260.0,40.0,25.0,0.0,0.1,0.019267823,318
Ni,Ir,Cu,61.53846154,30.76923077,7.692307692,260.0,40.0,25.0,0.0,0.1,0.019379845,308
Ni,Ir,Cu,50.0,25.0,25.0,260.0,40.0,25.0,0.0,0.1,0.011402509,307
Ir,,,100.0,0.0,0.0,25.0,30.0,400.0,15.0,0.1,0.089681528,248
Ir,,,100.0,0.0,0.0,25.0,30.0,450.0,15.0,0.1,0.089681528,247
Ir,,,100.0,0.0,0.0,25.0,30.0,500.0,15.0,0.1,0.089681528,299
Ir,,,100.0,0.0,0.0,25.0,30.0,550.0,15.0,0.1,0.089681528,304
Ir,Ru,,70.0,30.0,0.0,25.0,30.0,450.0,15.0,0.1,0.089681528,193
Ti,W,Ir,60.4901321,25.92434233,13.58552558,180.0,120.0,25.0,0.0,1.0,0.026751592,360
Ti,W,Ir,55.13943102,23.63118472,21.22938425,180.0,120.0,25.0,0.0,1.0,0.030573248,384
Ir,,,100.0,0.0,0.0,25.0,0.1666666,400.0,240.0,2.0,0.3,438
Ir,F,,96.15384615,3.846153846,0.0,25.0,0.1666666,400.0,240.0,2.0,0.3,431
Ir,F,,92.16589862,7.834101382,0.0,25.0,0.1666666,400.0,240.0,2.0,0.3,424
Ir,F,,87.71929825,12.28070175,0.0,25.0,0.1666666,400.0,240.0,2.0,0.3,409
Ir,F,,84.03361345,15.96638655,0.0,25.0,0.1666666,400.0,240.0,2.0,0.3,402
Ir,F,,75.18796992,24.81203008,0.0,25.0,0.1666666,400.0,240.0,2.0,0.3,417
Sn,Ir,,80.0,20.0,0.0,25.0,0.1666666,400.0,240.0,2.0,0.3,360
Sn,Ir,F,76.92307692,19.23076923,3.846153846,25.0,0.1666666,400.0,240.0,2.0,0.3,339
Sn,Ir,F,73.73271889,18.43317972,7.834101382,25.0,0.1666666,400.0,240.0,2.0,0.3,312
Sn,Ir,F,70.1754386,17.54385965,12.28070175,25.0,0.1666666,400.0,240.0,2.0,0.3,342
Ta,Ir,F,76.92307692,19.23076923,3.846153846,25.0,0.1666666,400.0,240.0,2.0,0.3,579
Ta,Ir,F,73.73271889,18.43317972,7.834101382,25.0,0.1666666,400.0,240.0,2.0,0.3,536
Ru,,,100.0,0.0,0.0,25.0,0.1666666,500.0,240.0,2.0,0.3,292
Sn,Ru,F,80.0,20.0,0.0,25.0,0.1666666,500.0,240.0,2.0,0.3,328
Sn,Ru,F,80.0,20.0,0.0,25.0,0.1666666,500.0,240.0,2.0,0.3,313
Sn,Ru,F,80.0,20.0,0.0,25.0,0.1666666,500.0,240.0,2.0,0.3,289
Nb,Ir,,75.0,25.0,0.0,75.0,1440.0,400.0,240.0,2.0,0.3,289
Nb,Ir,F,69.12442396,23.04147465,7.834101382,75.0,1440.0,400.0,240.0,2.0,0.3,262
Mn,Ir,F,73.73271889,18.43317972,7.834101382,25.0,0.1666666,400.0,240.0,2.0,0.3,232
Mn,Ir,F,64.51612903,27.64976959,7.834101382,25.0,0.1666666,400.0,240.0,2.0,0.3,224
Mn,Ir,F,55.29953917,36.86635945,7.834101382,25.0,0.1666666,400.0,240.0,2.0,0.3,217
Mn,Ir,,70.0,30.0,0.0,25.0,0.1666666,400.0,240.0,2.0,0.3,222
Nb,Sn,Ir,35.0,35.0,30.0,25.0,0.1666666,500.0,240.0,2.0,0.3,352
Co,,,100.0,0.0,0.0,25.0,240.0,350.0,240.0,1.0,5.04,385
Co,,,100.0,0.0,0.0,25.0,240.0,350.0,300.0,1.0,5.04,368
Co,,,100.0,0.0,0.0,25.0,240.0,350.0,60.0,1.0,5.04,372
Ru,Y,Zn,63.22874558,34.02104156,2.750212861,85.0,480.0,1050.0,720.0,1.0,0.2038216,290
Ru,Y,,65.01684727,34.98315273,0.0,85.0,480.0,1050.0,720.0,1.0,0.2038216,370
Ir,,,100.0,0.0,0.0,250.0,720.0,500.0,300.0,0.1,0.2,364
Ir,F,,66.66666667,33.33333333,0.0,250.0,720.0,500.0,300.0,0.1,0.2,331
Ir,F,,50.0,50.0,0.0,250.0,720.0,500.0,300.0,0.1,0.2,349
Ir,Ru,,70.0,30.0,0.0,25.0,330.0,490.0,30.0,0.1,0.06,362
Ir,,,100.0,0.0,0.0,60.0,1080.0,400.0,120.0,1.0,0.994718395,269
Ir,Sn,,80.0,20.0,0.0,60.0,1080.0,400.0,120.0,1.0,0.994718395,283
Ir,Sn,,60.0,40.0,0.0,60.0,1080.0,400.0,120.0,1.0,0.994718395,276
Ir,Cu,,52.63157895,47.36842105,0.0,200.0,300.0,25.0,0.0,0.1,0.078,346
Cu,Ir,,58.33333333,41.66666667,0.0,200.0,300.0,25.0,0.0,0.1,0.088,350
Cu,Ir,,69.6969697,30.3030303,0.0,200.0,300.0,25.0,0.0,0.1,0.106,358
Ir,Cu,,52.63157895,47.36842105,0.0,200.0,300.0,25.0,0.0,0.1,0.078,323
Cu,Ir,,58.33333333,41.66666667,0.0,200.0,300.0,25.0,0.0,0.1,0.088,312
Cu,Ir,,69.6969697,30.3030303,0.0,200.0,300.0,25.0,0.0,0.1,0.106,311
Ti,Ir,,91.55313351,8.446866485,0.0,80.0,60.0,25.0,0.0,1.0,0.063697513,347
Ti,Ir,,88.94003913,11.05996087,0.0,80.0,60.0,25.0,0.0,1.0,0.078984916,323
Ti,Ir,,84.42211055,15.57788945,0.0,80.0,60.0,25.0,0.0,1.0,0.10191602,333
Ti,Ir,,78.32167832,21.67832168,0.0,80.0,60.0,25.0,0.0,1.0,0.129942926,336
Fe,,,100.0,0.0,0.0,200.0,0.036666667,400.0,30.0,1.0,1.0,653
Fe,,,100.0,0.0,0.0,200.0,0.036666667,400.0,30.0,1.0,1.0,617
Ir,,,100.0,0.0,0.0,25.0,0.0,200.0,120.0,0.1,0.06,326
Os,Ir,,75.0,25.0,0.0,25.0,0.0,1100.0,1.166666667,0.1,0.0503,302
Co,Ir,,50.0,50.0,0.0,25.0,0.0,1100.0,1.166666667,0.1,0.0258,345
Co,Ir,,75.0,25.0,0.0,25.0,0.0,1100.0,1.166666667,0.1,0.0258,289
Co,Ir,,83.33333333,16.66666667,0.0,25.0,0.0,1100.0,1.166666667,0.1,0.0258,288
Co,Ir,,90.90909091,9.090909091,0.0,25.0,0.0,300.0,180.0,0.1,0.0258,306
Co,Ir,,75.0,25.0,0.0,25.0,0.0,200.0,120.0,0.1,0.06,300
Co,Ir,,96.59042066,3.409579345,0.0,25.0,240.0,600.0,120.0,1.0,0.226,523
Co,Ir,,96.59042066,3.409579345,0.0,25.0,240.0,700.0,120.0,1.0,0.226,383
Co,Ir,,96.59042066,3.409579345,0.0,25.0,240.0,850.0,120.0,1.0,0.226,365
P,Rh,,87.01298701,12.98701299,0.0,180.0,720.0,185.0,720.0,1.0,0.004256796,548
Rh,,,100.0,0.0,0.0,185.0,90.0,185.0,720.0,1.0,0.0037,592
Co,Ir,,76.4940239,23.5059761,0.0,35.0,30.0,25.0,0.0,2.0,0.212206591,280
Co,Ir,,61.93548387,38.06451613,0.0,35.0,30.0,25.0,0.0,2.0,0.212206591,294
Co,Ir,,86.68171558,13.31828442,0.0,35.0,30.0,25.0,0.0,2.0,0.212206591,311
Cu,Co,Ir,50.0,25.0,25.0,270.0,30.0,25.0,0.0,0.1,0.044195736,293
K,Ir,,97.7807677,2.219232304,0.0,150.0,360.0,600.0,360.0,0.1,0.2,355
K,Ir,,97.7807677,2.219232304,0.0,150.0,480.0,600.0,360.0,0.1,0.2,350
K,Ir,,97.7807677,2.219232304,0.0,200.0,360.0,600.0,360.0,0.1,0.2,374
Mn,Ir,,94.93,5.07,0.0,25.0,20.0,400.0,240.0,0.1,0.029826858,316
Mn,Ir,,95.01,4.99,0.0,25.0,20.0,400.0,240.0,0.1,0.029382951,337
Mn,Ir,,95.16,4.84,0.0,25.0,20.0,400.0,240.0,0.1,0.028548443,353
Mn,Ir,,95.05,4.95,0.0,25.0,20.0,400.0,240.0,0.1,0.029160695,372
Ir,,,100.0,0.0,0.0,25.0,60.0,190.0,30.0,1.0,0.0028,321
Ir,,,100.0,0.0,0.0,25.0,60.0,190.0,30.0,1.0,0.0056,302
Ir,,,100.0,0.0,0.0,25.0,60.0,190.0,30.0,1.0,0.0084,292
Ir,,,100.0,0.0,0.0,25.0,60.0,190.0,30.0,1.0,0.0112,287
Ir,,,100.0,0.0,0.0,25.0,60.0,190.0,30.0,1.0,0.014,284
Ti,Ir,Nb,85.71428571,14.28571429,0.0,25.0,30.0,500.0,60.0,0.1,0.229394242,335
Ti,Ir,Nb,80.8988764,14.843288,4.2578356,25.0,30.0,500.0,60.0,0.1,0.229394242,315
Ti,Ir,Nb,76.14571093,15.39365452,8.460634548,25.0,30.0,500.0,60.0,0.1,0.229394242,316
Ti,Nb,Ir,66.82134571,16.47331787,16.70533643,25.0,30.0,500.0,60.0,0.1,0.229394242,306
Co,Ni,Ir,65.18998557,32.59499279,2.215021644,25.0,15.0,300.0,120.0,1.0,1.501,240
Co,Ni,Ir,65.18998557,32.59499279,2.215021644,25.0,15.0,400.0,120.0,1.0,1.501,319
Co,Ni,Ir,65.18998557,32.59499279,2.215021644,25.0,15.0,500.0,120.0,1.0,1.501,342
Co,Ir,,96.71386187,3.28613813,0.0,25.0,15.0,300.0,120.0,1.0,1.501,278
Ni,Ir,,96.71386187,3.28613813,0.0,25.0,15.0,300.0,120.0,1.0,1.501,518
Fe,Co,Ir,65.18998557,32.59499279,2.215021644,25.0,15.0,300.0,120.0,1.0,1.501,385
Fe,Ni,Ir,65.18998557,32.59499279,2.215021644,25.0,15.0,300.0,120.0,1.0,1.501,330
Fe,Pd,Ir,98.71417836,0.824776271,0.461045373,95.0,150.0,25.0,0.0,0.1,0.014060742,226
Fe,Pd,Ir,98.71417836,0.824776271,0.461045373,95.0,150.0,25.0,0.0,0.1,0.084364454,192
Ir,Zr,,63.9151002,36.0848998,0.0,80.0,1440.0,25.0,0.0,0.1,0.48,516
Ir,Zr,,63.9151002,36.0848998,0.0,80.0,1440.0,25.0,0.0,0.1,0.3912,523
Ir,Zr,,63.9151002,36.0848998,0.0,80.0,1440.0,25.0,0.0,0.1,0.33984,433
Ir,Zr,,63.9151002,36.0848998,0.0,80.0,1440.0,25.0,0.0,0.1,0.25488,534
Ir,,,100.0,0.0,0.0,25.0,480.0,900.0,120.0,1.0,0.048462,290
Ti,Ir,Nb,88.3550731,6.994659897,4.650267005,80.0,60.0,200.0,60.0,1.0,0.04331209,416
Ti,Ir,Nb,87.91394816,7.45900194,4.627049903,80.0,60.0,200.0,60.0,1.0,0.04585986,387
Ti,Ir,Nb,86.08458885,9.384643311,4.530767834,80.0,60.0,200.0,60.0,1.0,0.05605094,354
Ti,Ir,Nb,84.14438003,11.42696839,4.42865158,80.0,60.0,200.0,60.0,1.0,0.06624202,323
Ti,Ir,Nb,80.45028143,15.31549324,4.234225338,80.0,60.0,200.0,60.0,1.0,0.084076433,304
Ir,,,100.0,0.0,0.0,80.0,60.0,200.0,60.0,1.0,0.25477707,301
La,Ru,,79.9865196,20.0134804,0.0,120.0,600.0,400.0,120.0,1.0,1.0,208
La,Ru,,79.9865196,20.0134804,0.0,120.0,600.0,300.0,120.0,1.0,1.0,245
La,Ru,,79.9865196,20.0134804,0.0,120.0,600.0,500.0,120.0,1.0,1.0,396
La,Ru,,75.0,25.0,0.0,120.0,600.0,400.0,120.0,1.0,1.0,215
La,Ru,,83.33333333,16.66666667,0.0,120.0,600.0,400.0,120.0,1.0,1.0,212
Ru,Ho,,50.0,50.0,0.0,25.0,720.0,900.0,360.0,0.1,0.2,280
Ru,Y,,50.0,50.0,0.0,25.0,720.0,900.0,360.0,0.1,0.2,312
Ru,,,100.0,0.0,0.0,25.0,720.0,900.0,360.0,0.1,0.2,420
Ru,Ho,,50.0,50.0,0.0,25.0,720.0,900.0,360.0,0.1,0.2,215
Sr,Ir,Ru,69.21815502,23.86226449,6.919580491,25.0,120.0,1200.0,15.0,0.1,0.025477707,359
Sr,Ir,Ru,68.55952767,17.73299428,13.70747805,25.0,120.0,1200.0,15.0,0.1,0.025477707,347
Sr,Ru,Ir,68.21739837,17.07448021,14.70812143,25.0,120.0,1200.0,15.0,0.1,0.025477707,338
Sr,Ru,Ir,67.93104674,20.37273367,11.69621959,25.0,120.0,1200.0,15.0,0.1,0.025477707,339
Sr,Ru,Ir,67.29657368,26.90993761,5.793488703,25.0,120.0,1200.0,15.0,0.1,0.025477707,357
S,Mo,Co,98.5915493,0.704225352,0.704225352,220.0,1080.0,25.0,0.0,1.0,2.0,634
S,Mo,Co,87.5,6.25,6.25,220.0,1080.0,25.0,0.0,1.0,2.0,549
S,Mo,Co,77.77777778,11.11111111,11.11111111,220.0,1080.0,25.0,0.0,1.0,2.0,579
S,Mo,Co,53.84615385,23.07692308,23.07692308,220.0,1080.0,25.0,0.0,1.0,2.0,789
Cu,Ir,,61.41946738,38.58053262,0.0,25.0,20.0,240.0,60.0,0.1,0.016237751,273
Cu,Ir,,70.48381056,29.51618944,0.0,25.0,20.0,240.0,60.0,0.1,0.018577778,255
Cu,Ir,,79.91948522,20.08051478,0.0,25.0,20.0,240.0,60.0,0.1,0.027022222,292
Ir,,,100.0,0.0,0.0,0.0,240.0,400.0,60.0,1.0,0.142,335
Ir,,,100.0,0.0,0.0,0.0,240.0,400.0,60.0,1.0,0.142,291
Ir,,,100.0,0.0,0.0,0.0,240.0,400.0,60.0,1.0,0.142,346
Ir,,,100.0,0.0,0.0,25.0,2880.0,25.0,0.0,0.1,0.00196,314
Ru,,,100.0,0.0,0.0,50.0,600.0,450.0,60.0,1.0,0.15,282
Ir,,,100.0,0.0,0.0,50.0,600.0,450.0,60.0,1.0,0.15,337
Ru,Ir,,75.0,25.0,0.0,50.0,600.0,450.0,60.0,1.0,0.15,232
Ru,Ir,,50.0,50.0,0.0,50.0,600.0,450.0,60.0,1.0,0.15,206
Ir,Ru,,75.0,25.0,0.0,50.0,600.0,450.0,60.0,1.0,0.15,250
Pt,Ir,Pd,65.0,16.66666667,18.33333333,95.0,150.0,25.0,0.0,0.1,0.0084,372
Pt,Ir,Pd,65.0,16.66666667,18.33333333,95.0,150.0,25.0,0.0,0.1,0.0168,408
Ir,W,,52.930948,47.069052,0.0,250.0,180.0,25.0,0.0,0.1,0.013458333,305
Fe,Ir,,99.0140058,0.985994201,0.0,25.0,60.0,900.0,360.0,1.0,0.00114,259
Fe,Ir,,90.94370856,9.056291437,0.0,25.0,60.0,900.0,360.0,1.0,0.0114,282
Ir,K,Na,65.50883789,25.0,9.491162111,25.0,0.0,900.0,900.0,0.1,0.2,344
Fe,Ir,N,63.16121901,21.04847624,15.79030475,25.0,30.0,500.0,120.0,1.0,0.152866242,316
Co,Ir,N,63.16121901,21.04847624,15.79030475,25.0,30.0,500.0,120.0,1.0,0.152866242,319
Ni,Ir,N,63.16121901,21.04847624,15.79030475,25.0,30.0,500.0,120.0,1.0,0.152866242,346
Ir,,,100.0,0.0,0.0,25.0,720.0,450.0,120.0,1.0,0.204,198
Ir,,,100.0,0.0,0.0,25.0,720.0,450.0,120.0,1.0,0.204,199
Ir,,,100.0,0.0,0.0,25.0,720.0,450.0,120.0,1.0,0.204,190
Ir,,,100.0,0.0,0.0,25.0,60.0,650.0,180.0,1.0,0.010791325,369
Ir,,,100.0,0.0,0.0,25.0,60.0,650.0,180.0,1.0,0.010791325,301
Ir,,,100.0,0.0,0.0,25.0,60.0,650.0,180.0,1.0,0.010791325,338
Sr,Ir,,50.67965588,49.32034412,0.0,25.0,720.0,1000.0,180.0,0.1,0.404,254
Sr,Ir,,50.67965588,49.32034412,0.0,25.0,720.0,1100.0,180.0,0.1,0.404,245
Sr,Ir,,50.67965588,49.32034412,0.0,25.0,720.0,1200.0,180.0,0.1,0.404,251
Sr,Ir,,50.67965588,49.32034412,0.0,25.0,720.0,1000.0,180.0,1.0,0.404,278
Sr,Ir,,50.67965588,49.32034412,0.0,25.0,720.0,1100.0,180.0,1.0,0.404,263
Sr,Ir,,50.67965588,49.32034412,0.0,25.0,720.0,1200.0,180.0,1.0,0.404,288
Sr,Ir,,50.0,50.0,0.0,25.0,0.0,850.0,720.0,0.1,0.404,256
Sr,Ir,,50.0,50.0,0.0,25.0,0.0,850.0,720.0,1.0,0.404,270
Au,Ir,,70.0,30.0,0.0,140.0,360.0,25.0,0.0,1.0,0.0285,377
Au,Ir,,50.0,50.0,0.0,140.0,360.0,25.0,0.0,1.0,0.0285,257
Ir,Au,,70.0,30.0,0.0,140.0,360.0,25.0,0.0,1.0,0.0285,319
Ir,,,100.0,0.0,0.0,140.0,360.0,25.0,0.0,1.0,0.0285,279
P,Ir,,66.66666667,33.33333333,0.0,320.0,60.0,25.0,0.0,0.1,0.046,260
Ir,,,100.0,0.0,0.0,320.0,60.0,25.0,0.0,0.1,0.046,290
Li,Ir,,94.11764706,5.882352941,0.0,25.0,960.0,25.0,0.0,0.1,0.1,256
Li,Ir,,88.88888889,11.11111111,0.0,25.0,960.0,25.0,0.0,0.1,0.1,273
Na,Ir,,94.11764706,5.882352941,0.0,25.0,960.0,25.0,0.0,0.1,0.1,366
Na,Ir,,88.88888889,11.11111111,0.0,25.0,960.0,25.0,0.0,0.1,0.1,288
K,Ir,,94.11764706,5.882352941,0.0,25.0,960.0,25.0,0.0,0.1,0.1,430
K,Ir,,88.88888889,11.11111111,0.0,25.0,960.0,25.0,0.0,0.1,0.1,339
Li,Ir,,94.11764706,5.882352941,0.0,25.0,960.0,25.0,0.0,0.1,0.1,283
Li,Ir,,88.88888889,11.11111111,0.0,25.0,960.0,25.0,0.0,0.1,0.1,284
Ru,Au,,66.66666667,33.33333333,0.0,140.0,1200.0,25.0,0.0,0.1,0.40764,219
Pd,Ir,,98.05254217,1.947457827,0.0,180.0,60.0,25.0,0.0,0.1,0.034682081,311
Pd,Ir,,97.9151927,2.0848073,0.0,180.0,60.0,25.0,0.0,0.1,0.032432432,355
Pd,Ir,,98.03863737,1.961362631,0.0,130.0,60.0,25.0,0.0,0.1,0.039344262,300
Ir,Si,,50.0,50.0,0.0,25.0,0.0,500.0,160.0,1.0,2.0,326
Ir,Si,,67.0,33.0,0.0,25.0,0.0,500.0,160.0,1.0,2.0,335
Ir,Si,,75.0,25.0,0.0,25.0,0.0,500.0,160.0,1.0,2.0,343
Ir,Si,,80.0,20.0,0.0,25.0,0.0,500.0,160.0,1.0,2.0,350
Ir,Si,,90.0,10.0,0.0,25.0,0.0,500.0,160.0,1.0,2.0,371
Ir,,,100.0,0.0,0.0,60.0,480.0,450.0,60.0,1.0,0.102,344
Ir,Ni,,90.0,10.0,0.0,60.0,480.0,450.0,60.0,1.0,0.102,343
Ir,Ni,,80.0,20.0,0.0,60.0,480.0,450.0,60.0,1.0,0.102,334
Ir,Ni,,70.0,30.0,0.0,60.0,480.0,450.0,60.0,1.0,0.102,336
Ir,Ni,,60.0,40.0,0.0,60.0,480.0,450.0,60.0,1.0,0.102,338
Ir,Ni,,50.0,50.0,0.0,60.0,480.0,450.0,60.0,1.0,0.102,374
Ir,,,100.0,0.0,0.0,25.0,30.0,450.0,15.0,0.1,0.179363057,220
Co,Ir,,91.16809117,8.831908832,0.0,120.0,10.0,300.0,20.0,0.1,0.016276596,308
Ba,Ir,Ti,50.0,33.33333333,16.66666667,25.0,0.0,1100.0,2160.0,0.1,0.282942121,332
Ba,Ir,Ti,92.59259259,3.703703704,3.703703704,25.0,240.0,600.0,360.0,0.1,0.282942121,274
Sn,V,Ir,51.71890784,33.79676451,14.48432765,25.0,250.0,25.0,0.0,0.1,0.017,310
Sn,Ir,Sb,71.88195331,20.13116299,7.986883701,25.0,250.0,25.0,0.0,0.1,0.017,314
Ir,Mn,,49.75124378,50.24875622,0.0,150.0,720.0,400.0,360.0,0.1,0.14,319
Ir,Mn,,59.88023952,40.11976048,0.0,150.0,720.0,400.0,360.0,0.1,0.128,306
Ir,Mn,,66.22516556,33.77483444,0.0,150.0,720.0,400.0,360.0,0.1,0.107,294
Ir,Mn,,80.0,20.0,0.0,150.0,720.0,400.0,360.0,0.1,0.075,289
Ir,,,0.0,100.0,0.0,150.0,720.0,400.0,360.0,0.1,0.2,337
Ir,,,0.0,100.0,0.0,150.0,720.0,200.0,360.0,0.1,0.2,347
Ir,,,0.0,100.0,0.0,150.0,720.0,500.0,360.0,0.1,0.2,381
Ir,,,0.0,100.0,0.0,150.0,720.0,600.0,360.0,0.1,0.2,398
Ir,,,0.0,100.0,0.0,150.0,720.0,700.0,360.0,0.1,0.2,431
Ru,Y,,50.0,50.0,0.0,80.0,480.0,1050.0,720.0,1.0,0.206666667,303
Ru,Y,Ba,50.0,47.5,2.5,80.0,480.0,1050.0,720.0,1.0,0.206666667,284
Ru,Y,Ba,50.0,46.25,3.75,80.0,480.0,1050.0,720.0,1.0,0.206666667,279
Ru,Y,Ba,50.0,43.75,6.25,80.0,480.0,1050.0,720.0,1.0,0.206666667,288
Ru,Y,Ba,50.0,40.0,10.0,80.0,480.0,1050.0,720.0,1.0,0.206666667,298
Li,Se,Ir,78.47533632,14.34977578,7.174887892,60.0,180.0,1000.0,1200.0,1.0,0.25,224
Li,Se,Ir,78.47533632,14.34977578,7.174887892,60.0,180.0,1000.0,1200.0,1.0,1.0,199
Li,Se,Ir,78.47533632,14.34977578,7.174887892,60.0,180.0,1000.0,1200.0,1.0,3.0,184
B,Ru,,80.0,20.0,0.0,25.0,0.0,900.0,120.0,1.0,0.571,223
Ir,Ni,,77.0,23.0,0.0,250.0,180.0,25.0,0.0,0.1,0.011136242,294
Ir,Co,,77.0,23.0,0.0,250.0,180.0,25.0,0.0,0.1,0.011136242,313
Ir,,,100.0,0.0,0.0,250.0,180.0,25.0,0.0,0.1,0.0102,328
Ir,Co,,60.60606061,39.39393939,0.0,280.0,120.0,25.0,0.0,0.1,0.018,283
Co,Ir,,59.67741935,40.32258065,0.0,280.0,120.0,25.0,0.0,0.1,0.018,300
Co,Ir,,73.0458221,26.9541779,0.0,280.0,120.0,25.0,0.0,0.1,0.018,292
Ir,,,100.0,0.0,0.0,280.0,120.0,25.0,0.0,0.1,0.018,312
Ir,Ni,Cu,33.33333333,33.33333333,33.33333333,270.0,60.0,200.0,300.0,0.1,0.050955414,273
Cu,Ir,,66.66666667,33.33333333,0.0,270.0,60.0,200.0,300.0,0.1,0.050955414,295
Ni,Ir,,66.66666667,33.33333333,0.0,270.0,60.0,200.0,300.0,0.1,0.050955414,308
Ir,,,100.0,0.0,0.0,270.0,180.0,200.0,300.0,0.1,0.050955414,345
Te,Ir,,66.66666667,33.33333333,0.0,200.0,600.0,25.0,0.0,0.1,0.050955414,285
Te,Ir,,66.66666667,33.33333333,0.0,200.0,600.0,25.0,0.0,1.0,0.050955414,297
Ir,,,100.0,0.0,0.0,90.0,120.0,300.0,120.0,1.0,0.0,290
Ir,,,100.0,0.0,0.0,160.0,720.0,25.0,0.0,0.1,0.5823,245
Sn,Ir,Sb,87.49522641,8.859139154,3.645634434,140.0,60.0,25.0,0.0,0.2,0.004470833,374
Ni,Co,Ir,50.0,44.0,6.0,200.0,600.0,400.0,600.0,0.1,0.2,329
Ni,Co,Ir,50.0,40.0,10.0,200.0,600.0,400.0,600.0,0.1,0.2,287
Ni,Co,Ir,50.0,37.5,12.5,200.0,600.0,400.0,600.0,0.1,0.2,311
Ba,Ir,Nd,50.0,25.0,25.0,25.0,0.0,1250.0,7200.0,0.1,0.03,370
Ba,Ir,Pr,50.0,25.0,25.0,25.0,0.0,1250.0,7200.0,0.1,0.03,389
Ba,Ir,La,50.0,25.0,25.0,25.0,0.0,1250.0,7200.0,0.1,0.03,418
Sr,Ir,Y,50.0,25.0,25.0,25.0,0.0,1200.0,1440.0,0.1,0.03,393
Ni,Cu,Ir,57.14285714,28.57142857,14.28571429,260.0,40.0,25.0,0.0,0.1,0.02256,302
Ni,Cu,Ir,50.0,25.0,25.0,260.0,40.0,25.0,0.0,0.1,0.022091503,306
Ni,Co,Ir,39.26308378,39.26308378,21.47383243,250.0,60.0,250.0,60.0,0.1,0.0125,302
Co,Ir,,64.64451314,35.35548686,0.0,250.0,60.0,250.0,60.0,0.1,0.0125,311
Ni,Ir,,64.64451314,35.35548686,0.0,250.0,60.0,250.0,60.0,0.1,0.0125,361
Ir,Cr,,60.0,40.0,0.0,25.0,480.0,350.0,360.0,1.0,0.56,245
Ir,Cr,,60.0,40.0,0.0,25.0,480.0,450.0,360.0,1.0,0.56,292
Ir,Cr,,70.0,30.0,0.0,25.0,480.0,350.0,360.0,1.0,0.56,248
Ir,Cr,,50.0,50.0,0.0,25.0,480.0,350.0,360.0,1.0,0.56,251
Co,Zn,Ir,65.5922643,32.79613215,1.611603546,25.0,1440.0,900.0,150.0,1.0,0.3375,270
Ru,Ir,,75.0,25.0,0.0,25.0,120.0,400.0,60.0,1.0,0.38,266
Sn,Ir,,99.98267272,0.017327276,0.0,95.0,120.0,300.0,30.0,1.0,0.044829,240
Ti,Ir,,69.69409082,30.30590918,0.0,100.0,180.0,500.0,30.0,0.1,0.011666667,445
La,Ir,Li,53.33333333,33.33333333,13.33333333,25.0,0.0,1000.0,240.0,0.1,0.476190476,313
La,Ir,Li,53.33333333,33.33333333,13.33333333,25.0,0.0,1200.0,240.0,0.1,0.476190476,278
La,Ir,Li,53.33333333,33.33333333,13.33333333,25.0,0.0,1400.0,240.0,0.1,0.476190476,294
La,Ir,Li,33.33333333,33.33333333,33.33333333,25.0,0.0,1400.0,240.0,0.1,0.476190476,298
La,Ir,Li,44.33333333,33.33333333,22.33333333,25.0,0.0,1400.0,240.0,0.1,0.476190476,314
Li,Ir,La,44.33333333,33.33333333,22.33333333,25.0,0.0,1400.0,240.0,0.1,0.476190476,324
Ir,,,100.0,0.0,0.0,150.0,240.0,25.0,0.0,1.0,0.142857143,254
Pr,Ir,,66.66666667,33.33333333,0.0,25.0,0.0,1200.0,240.0,0.1,2.857142,305
Pr,Ir,,66.66666667,33.33333333,0.0,25.0,0.0,1000.0,240.0,0.1,2.857142,328
Pr,Ir,,66.66666667,33.33333333,0.0,25.0,0.0,1400.0,240.0,0.1,2.857142,326
Pr,Ir,,75.0,25.0,0.0,25.0,0.0,1200.0,240.0,0.1,2.857142,369
Pr,Ir,,50.0,50.0,0.0,25.0,0.0,1200.0,240.0,0.1,2.857142,321
Ru,Ir,,68.91276794,31.08723206,0.0,25.0,0.0,25.0,0.0,1.0,0.019285714,298
Ru,Ir,,68.91276794,31.08723206,0.0,25.0,0.0,400.0,120.0,1.0,0.018214286,188
Ni,Ir,,66.66666667,33.33333333,0.0,240.0,60.0,400.0,240.0,0.1,0.017286875,328
