Metal_1,Metal_2,Metal_3,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Annealing Temp degree,Annealing Time min,Proton Concentration M,Catalyst_Loading mg cm -2,Overpotential mV @10 mA cm-2
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,180.0,200.0,1440.0,1.0,0.85,500
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,270.0,200.0,1440.0,1.0,0.85,490
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,360.0,200.0,1440.0,1.0,0.85,450
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,720.0,200.0,1440.0,1.0,0.85,410
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,1440.0,200.0,1440.0,1.0,0.85,370
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,2880.0,200.0,1440.0,1.0,0.85,480
Co,S,Mo,49.90340524,49.90340524,0.193189522,200.0,1440.0,200.0,1440.0,1.0,0.85,513
Co,S,Mo,49.61584738,49.61584738,0.768305233,200.0,1440.0,200.0,1440.0,1.0,0.85,563
Ir,Ru,,50.69969717,49.30030283,0.0,180.0,30.0,550.0,30.0,1.0,0.05,333
Ir,Ru,Co,43.66294726,42.45777869,13.87927405,180.0,30.0,550.0,30.0,1.0,0.05,225
Ir,Ru,Co,43.66294726,42.45777869,13.87927405,180.0,30.0,750.0,30.0,1.0,0.05,266
Ir,Ru,,50.69969717,49.30030283,0.0,180.0,30.0,550.0,30.0,1.0,0.05,281
Ir,Ru,,50.69969717,49.30030283,0.0,180.0,30.0,550.0,30.0,0.1,0.05,448
Ir,Ru,Co,43.66294726,42.45777869,13.87927405,180.0,30.0,550.0,30.0,0.1,0.05,239
Ir,Ru,Co,43.66294726,42.45777869,13.87927405,180.0,30.0,750.0,30.0,0.1,0.05,290
Ir,Ru,,50.69969717,49.30030283,0.0,180.0,30.0,550.0,30.0,0.1,0.05,319
